Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"H.A. Owida","Automated classification of brain tumor-based magnetic resonance imaging using deep learning approach",2024,"International Journal of Electrical and Computer Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85191009888&origin=inward",7,"2024-06-23 22:51:55","Article","10.11591/ijece.v14i3.pp3150-3158","2088-8708","https://api.elsevier.com/content/abstract/scopus_id/85191009888",14,3,3150,3158,0,0.00,0,1,1,"","",""
0,"O. Tarawneh","The Effect of Pre-processing on a Convolutional Neural Network Model for Dorsal Hand Vein Recognition",2024,"International Journal of Advanced Computer Science and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85189935210&origin=inward",8,"2024-06-23 22:51:55","Article","10.14569/IJACSA.2024.01503126","2158-107X","https://api.elsevier.com/content/abstract/scopus_id/85189935210",15,3,1284,1289,0,0.00,0,1,1,"","",""
0,"H.A. Owida","The performance of artificial intelligence in prostate magnetic resonance imaging screening",2024,"International Journal of Electrical and Computer Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85185796088&origin=inward",9,"2024-06-23 22:51:55","Article","10.11591/ijece.v14i2.pp2234-2241","2088-8708","https://api.elsevier.com/content/abstract/scopus_id/85185796088",14,2,2234,2241,0,0.00,0,1,1,"","",""
0,"M. Arabiat","DEPTH ESTIMATION METHOD BASED ON RESIDUAL NETWORKS AND SE-NET MODEL",2024,"Journal of Theoretical and Applied Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85185514819&origin=inward",10,"2024-06-23 22:51:55","Article","","1992-8645","https://api.elsevier.com/content/abstract/scopus_id/85185514819",102,3,866,871,0,0.00,0,1,1,"","",""
0,"A. Al-Momani","The effect of technological context on smart home adoption in Jordan",2024,"Indonesian Journal of Electrical Engineering and Computer Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85184605117&origin=inward",11,"2024-06-23 22:51:55","Article","10.11591/ijeecs.v33.i2.pp1186-1195","2502-4752","https://api.elsevier.com/content/abstract/scopus_id/85184605117",33,2,1186,1195,0,0.00,0,1,1,"","",""
0,"S. Abuowaida","PROPOSED ENHANCED FEATURE EXTRACTION FOR MULTI-FOOD DETECTION METHOD",2023,"Journal of Theoretical and Applied Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182886267&origin=inward",12,"2024-06-23 22:51:55","Article","","1992-8645","https://api.elsevier.com/content/abstract/scopus_id/85182886267",101,24,8140,8146,0,0.00,0,1,1,"","",""
20,"R.S. Alkhawaldeh","Ensemble deep transfer learning model for Arabic (Indian) handwritten digit recognition",2022,"Neural Computing and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85113593126&origin=inward",2,"2024-06-23 22:51:55","Article","10.1007/s00521-021-06423-7","0941-0643","https://api.elsevier.com/content/abstract/scopus_id/85113593126",34,1,705,719,20,10.00,20,1,2,"","",""
4,"H.A. Owida","Deep learning algorithms to improve COVID-19 classification based on CT images",2022,"Bulletin of Electrical Engineering and Informatics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85136032157&origin=inward",4,"2024-06-23 22:51:55","Article","10.11591/eei.v11i5.3802","2089-3191","https://api.elsevier.com/content/abstract/scopus_id/85136032157",11,5,2876,2885,4,2.00,4,1,2,"","",""
3,"N.F.F. Alshdaifat","An improved multi-object instance segmentation based on deep learning",2022,"Kuwait Journal of Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128298076&origin=inward",5,"2024-06-23 22:51:55","Article","10.48129/kjs.10879","2307-4108","https://api.elsevier.com/content/abstract/scopus_id/85128298076",49,2,,,3,1.50,3,1,2,"","",""
2,"H.A. Owida","IMPROVED DEEP LEARNING APPROACHES FOR COVID-19 RECOGNITION IN CT IMAGES",2022,"Journal of Theoretical and Applied Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134370209&origin=inward",6,"2024-06-23 22:51:55","Article","","1992-8645","https://api.elsevier.com/content/abstract/scopus_id/85134370209",100,13,4925,4931,2,1.00,2,1,2,"","",""
14,"S.F.A. Abuowaida","A novel instance segmentation algorithm based on improved deep learning algorithm for multi-object images",2021,"Jordanian Journal of Computers and Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102894859&origin=inward",3,"2024-06-23 22:51:55","Article","10.5455/jjcit.71-1603701313","2413-9351","https://api.elsevier.com/content/abstract/scopus_id/85102894859",7,1,74,88,14,4.67,14,1,3,"","",""
54,"N.F.F. Alshdaifat","Improved deep learning framework for fish segmentation in underwater videos",2020,"Ecological Informatics","","https://api.elsevier.com/content/article/eid/1-s2.0-S1574954120300716","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087760524&origin=inward",1,"2024-06-23 22:51:55","Article","10.1016/j.ecoinf.2020.101121","1574-9541","https://api.elsevier.com/content/abstract/scopus_id/85087760524",59,,,,54,13.50,54,1,4,"","",""
